RecipeID,recipe_name,Description,ingredients_list,Procedure,Region,nutritional_value,recipe_type,image_url
45,Kadabu,Steamed rice dumplings filled with coconut.,"Rice flour, grated coconut, jaggery, cardamom powder, water, salt.","Prepare the filling by mixing grated coconut, jaggery, and cardamom powder in a pan. Cook until the jaggery melts and the mixture thickens, then set aside. Make a dough by boiling water with a pinch of salt and mixing it with rice flour until smooth. Shape the dough into small balls, flatten them, and place a spoonful of the coconut filling in the center. Fold and seal the edges to form a dumpling. Steam the kadabu for 10-15 minutes. Serve hot.",South Indian,Calories: 460 Carbohydrates: 12g Fats: 35g Proteins: 25g Cholesterol: 85mg,Veg,https://palatesdesire.com/wp-content/uploads/2021/04/kadbu@palates_desire.jpg
46,Carrot Halwa,"Sweet, rich carrot pudding.","Grated carrots, milk, sugar, ghee, cardamom powder, chopped nuts (cashews, almonds), and raisins.","Cook grated carrots in ghee until softened. Add milk and simmer until the mixture thickens. Stir in sugar and cardamom powder, continuing to cook until the halwa reaches a pudding-like consistency. Fry the chopped nuts and raisins in ghee and mix them into the halwa. Serve warm or chilled as a dessert.",North Indian,Calories: 320 Carbohydrates: 24g Fats: 18g Proteins: 10g Cholesterol: 10mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/11/gajar-halwa.jpg
47,Ragi Balls,"Nutritious, finger millet energy balls.","Ragi flour, water, jaggery (or sugar), ghee, cardamom powder, and salt.","Heat ghee in a pan, add ragi flour, and roast until aromatic. In another pan, dissolve jaggery in water and bring it to a boil. Add the jaggery syrup to the roasted ragi flour, and stir to combine. Add cardamom powder and a pinch of salt. Once the mixture cools slightly, shape it into small balls. Let them cool completely before serving.",South Indian,Calories: 480 Carbohydrates: 12g Fats: 35g Proteins: 28g Cholesterol: 85mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/ragi-mudde-recipe-1.jpg
48,Nati Koli Saaru,"Spicy, flavorful country chicken curry.","Country chicken (nati koli), onions, tomatoes, ginger-garlic paste, green chilies, curry leaves, coconut, coriander powder, cumin powder, garam masala, turmeric, red chili powder, mustard seeds, oil, and salt.","Marinate the chicken with turmeric, salt, and ginger-garlic paste. Heat oil in a pot, temper mustard seeds, and add curry leaves, chopped onions, and green chilies. Sauté until onions are golden, then add tomatoes and cook until soft. Add coriander powder, cumin powder, red chili powder, and garam masala, and cook the spices until fragrant. Add marinated chicken, cook for a few minutes, then add water and cook until the chicken is tender. Grind fresh coconut and add it to the curry for richness. Simmer and serve hot with rice or roti.",South Indian,Calories: 240 Carbohydrates: 30g Fats: 8g Proteins: 4g Cholesterol: 0mg,Non-Veg,https://yummyashaskitchen.com/wp-content/uploads/2023/06/Karnataka-Style-Nati-Koli-Saaru15-min.jpg
49,Mutton Chops,"Tender, spiced mutton chops.","Mutton chops, onions, tomatoes, ginger-garlic paste, green chilies, yogurt, turmeric, red chili powder, coriander powder, garam masala, mint leaves, oil, salt.","Marinate the mutton chops with yogurt, ginger-garlic paste, turmeric, red chili powder, and salt for at least 1-2 hours. Heat oil in a pan, sauté onions, green chilies, and ginger-garlic paste until golden. Add chopped tomatoes and cook until soft, then add coriander powder, garam masala, and mint leaves. Add the marinated chops and sear them on all sides. Pour water and cook until the chops are tender and the gravy thickens. Serve hot with naan or rice.",South Indian,Calories: 350 Carbohydrates: 8g Fats: 20g Proteins: 30g Cholesterol: 120mg,Non-Veg,https://greatcurryrecipes.net/wp-content/uploads/2020/04/tandoori-lamb-chops.jpg
50,Sweet Corn Rice,"Flavorful, sweet corn rice.","Cooked rice, sweet corn kernels, onions, green chilies, ginger-garlic paste, turmeric, cumin seeds, coriander leaves, lemon juice, oil, and salt.","Heat oil in a pan, temper cumin seeds, and sauté onions, green chilies, and ginger-garlic paste until golden. Add sweet corn kernels and cook for a few minutes. Add turmeric, salt, and the cooked rice, mixing gently to combine. Stir in lemon juice and garnish with fresh coriander leaves. Serve hot with raita or pickle.",South Indian,Calories: 200 Carbohydrates: 24g Fats: 8g Proteins: 6g Cholesterol: 0mg,Veg,https://www.easycookingwithmolly.com/wp-content/uploads/2019/06/quick-sweet-corn-fried-rice.jpg
51,Tomato Soup,"Rich, tangy tomato soup.","Ripe tomatoes, onions, garlic, carrots, celery, vegetable broth or water, butter or oil, salt, pepper, sugar, and fresh herbs (basil or parsley).","Sauté chopped onions, garlic, carrots, and celery in butter or oil until softened. Add chopped tomatoes and cook until they release their juice. Pour in the broth or water and simmer for 20 minutes. Blend the mixture until smooth, then return to the heat, adding salt, pepper, and a pinch of sugar to balance the acidity. Garnish with fresh herbs and serve hot.",South Indian,Calories: 490 Carbohydrates: 6g Fats: 35g Proteins: 30g Cholesterol: 100mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2020/11/tomato-soup-recipe-4.jpg
52,Butter Chicken,"Creamy, flavorful butter chicken.","Chicken (boneless, cut into pieces), yogurt, ginger-garlic paste, lemon juice, turmeric, red chili powder, garam masala, butter, onions, tomatoes, cream, kasuri methi (dried fenugreek leaves), salt, and oil.","Marinate chicken with yogurt, ginger-garlic paste, lemon juice, turmeric, red chili powder, and salt for at least 1-2 hours. Heat butter and oil in a pan, sauté onions until golden, and add ginger-garlic paste. Add chopped tomatoes, cook until soft, then blend into a smooth puree. In the same pan, add marinated chicken and cook until tender. Add the tomato puree, garam masala, kasuri methi, and cream. Simmer until the gravy thickens. Serve hot with naan or rice.",North Indian,Calories: 260 Carbohydrates: 34g Fats: 8g Proteins: 6g Cholesterol: 5mg,Non-Veg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Butter_Chicken_%26_Butter_Naan_-_Home_-_Chandigarh_-_India_-_0006.jpg/1200px-Butter_Chicken_%26_Butter_Naan_-_Home_-_Chandigarh_-_India_-_0006.jpg
53,Paneer Butter Masala,"Creamy, rich paneer butter masala.","Paneer (cottage cheese), butter, onions, tomatoes, ginger-garlic paste, cream, garam masala, red chili powder, turmeric, kasuri methi (dried fenugreek leaves), sugar, salt, and oil.","Sauté chopped onions in butter until golden, then add ginger-garlic paste and cook until fragrant. Add chopped tomatoes, red chili powder, turmeric, and salt, and cook until the tomatoes soften. Blend the mixture into a smooth puree. In the same pan, heat butter, add the puree, and cook for a few minutes. Add garam masala, kasuri methi, and cream, and simmer for a rich gravy. Add paneer cubes and cook gently until the paneer absorbs the flavors. Serve hot with naan or rice.",North Indian,Calories: 380 Carbohydrates: 12g Fats: 25g Proteins: 30g Cholesterol: 75mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/04/paneer-butter-masala-fb.jpg
54,Dal Makhni,"Creamy, spiced black lentil curry.","Whole black lentils (sabut urad dal), kidney beans (rajma), onions, tomatoes, ginger-garlic paste, butter, cream, cumin seeds, garam masala, red chili powder, turmeric, coriander powder, salt, and oil.","Soak black lentils and kidney beans overnight, then pressure cook until soft. In a pan, heat oil and butter, sauté cumin seeds, onions, and ginger-garlic paste until golden. Add tomatoes, red chili powder, turmeric, and coriander powder, and cook until the tomatoes soften. Add the cooked dal and rajma along with some water, simmer for a while to blend the flavors. Stir in garam masala, butter, and cream, and cook until the dal reaches a creamy consistency. Serve hot with naan or rice.",North Indian,Calories: 150 Carbohydrates: 20g Fats: 6g Proteins: 4g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2018/12/dal-makhani-1a.jpg
55,Rajma Masala,"Hearty, spiced kidney bean curry.","Kidney beans (rajma), onions, tomatoes, ginger-garlic paste, green chilies, cumin seeds, garam masala, coriander powder, turmeric, red chili powder, oil, salt, and fresh coriander leaves.","Soak the kidney beans overnight, then pressure cook until soft. Heat oil in a pan, temper cumin seeds, and sauté onions and green chilies until golden. Add ginger-garlic paste and cook until fragrant, then add chopped tomatoes, turmeric, red chili powder, coriander powder, and salt. Cook the mixture until the tomatoes soften and oil separates. Add the cooked rajma and some water, and simmer to blend the flavors. Garnish with fresh coriander leaves and serve with rice or roti.",North Indian,Calories: 200 Carbohydrates: 6g Fats: 14g Proteins: 10g Cholesterol: 190mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/05/rajma-recipe-3.jpg
56,Chole Bhature,Spicy chickpeas with fluffy batura.,"For Chole: Chickpeas (chole), onions, tomatoes, ginger-garlic paste, green chilies, cumin seeds, garam masala, coriander powder, turmeric, red chili powder, amchur, and salt.For Bature: All-purpose flour (maida), semolina (sooji), yogurt, sugar, salt, baking powder, and oil.","Soak and cook chickpeas until soft. Prepare a spice blend with onions, tomatoes, ginger-garlic paste, and spices, then simmer the chickpeas in this mixture. For bature, make a dough from flour, semolina, yogurt, and baking powder. Roll out, fry until puffed, and serve hot with the spicy chickpea curry.",North Indian,Calories: 340 Carbohydrates: 10g Fats: 18g Proteins: 28g Cholesterol: 110mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/06/chole-bhature-1c.jpg
57,Aloo Paratha,"Stuffed, spiced potato flatbread.","For the filling: Potatoes, onions, green chilies, ginger, coriander leaves, garam masala, cumin powder, red chili powder, and salt. For the dough: Whole wheat flour, water, salt, and oil.","Boil and mash the potatoes. Mix with chopped onions, green chilies, ginger, coriander leaves, and spices to form the filling. Prepare the dough by kneading flour, salt, and water into a smooth consistency. Divide the dough into balls, roll out a small circle, place the filling in the center, seal it, and roll it out again into a flatbread. Cook the paratha on a hot griddle, applying ghee or oil on both sides until golden brown. Serve hot with yogurt, pickle, or raita.",North Indian,Calories: 240 Carbohydrates: 22g Fats: 10g Proteins: 6g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2009/08/aloo-paratha-recipe-3.jpg
58,Pani Puri,Crispy puris with spicy water.,"For the puris: Semolina (rava), all-purpose flour (maida), baking soda, and oil for frying. For the pani: Tamarind, mint leaves, coriander, green chilies, roasted cumin powder, black salt, and water. For the filling: Boiled potatoes, chickpeas, onions, and salt.","Make a dough with semolina, maida, and water; deep fry small puris. Blend mint, tamarind, and spices to prepare the pani. Fill the puris with boiled potato and chickpea mixture, dip into the spicy pani, and serve immediately.",North Indian,Calories: 420 Carbohydrates: 10g Fats: 28g Proteins: 30g Cholesterol: 85mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2018/12/easy-pani-puri-recipe-1.jpg
59,Paneer Tikka,"Grilled, spiced paneer cubes.","Paneer (cubed), yogurt, ginger-garlic paste, red chili powder, turmeric, garam masala, lemon juice, oil, salt, and skewers.","Marinate paneer cubes in a mixture of yogurt, ginger-garlic paste, spices, lemon juice, and salt for at least 1-2 hours. Thread the marinated paneer onto skewers and grill or bake until slightly charred and cooked through. Serve hot with chutney and salad.",North Indian,Calories: 350 Carbohydrates: 50g Fats: 6g Proteins: 12g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2011/10/paneer-tikka-4.jpg
60,Pav Bhaji,Spicy vegetable mash with buttered bread.,"For Bhaji: Mixed vegetables (potatoes, peas, carrots, cauliflower), onions, tomatoes, green chilies, ginger-garlic paste, pav bhaji masala, red chili powder, turmeric, butter, and salt. For Pav: Pav buns, butter.","Boil and mash the vegetables. Heat butter, sauté onions, tomatoes, green chilies, and ginger-garlic paste. Add spices and the mashed vegetables, cook together until flavors blend. For pav, butter and toast the buns. Serve the bhaji with the buttered pav and garnish with chopped onions, cilantro, and a squeeze of lemon.",North Indian,Calories: 450 Carbohydrates: 6g Fats: 35g Proteins: 25g Cholesterol: 90mg,Veg,https://www.cookwithmanali.com/wp-content/uploads/2018/05/Best-Pav-Bhaji-Recipe.jpg
61,Samosa,"Crispy, spiced potato pastries.","For the filling: Potatoes, onions, green peas, green chilies, ginger, garam masala, turmeric, red chili powder, and salt.For the dough: All-purpose flour (maida), carom seeds, salt, and oil for frying.Prepare the filling by cooking boiled potatoes with sautéed onions, peas, and spices. Make the dough by mixing flour, carom seeds, and salt, then knead into a smooth dough. Roll into circles, stuff with the filling, fold into a triangle shape, and seal the edges. Deep fry until golden and crispy.","Prepare the filling by cooking boiled potatoes with sautéed onions, peas, and spices. Make the dough by mixing flour, carom seeds, and salt, then knead into a smooth dough. Roll into circles, stuff with the filling, fold into a triangle shape, and seal the edges. Deep fry until golden and crispy.",North Indian,Calories: 220 Carbohydrates: 16g Fats: 12g Proteins: 6g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/11/samosa-4.jpg
62,Kachori,"Crispy, stuffed deep-fried pastry.","For the filling: Moong dal (yellow split lentils), onions, green chilies, ginger, garam masala, cumin powder, coriander powder, fennel seeds, and salt.For the dough: All-purpose flour (maida), semolina (sooji), carom seeds (ajwain), salt, and oil for frying.","Soak moong dal for a few hours, then cook it with spices like cumin powder, garam masala, and salt until dry and thick. Make a dough by mixing flour, semolina, carom seeds, salt, and oil. Roll the dough into small discs, place the filling in the center, and seal them into a ball. Deep fry the kachoris until golden and crispy. Serve hot with chutney.",North Indian,Calories: 450 Carbohydrates: 10g Fats: 30g Proteins: 35g Cholesterol: 80mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2018/03/raj-kachori-recipe-1a.jpg
63,Bhindi Masala,"Spicy, sautéed okra with spices.","Bhindi (okra), onions, tomatoes, green chilies, ginger-garlic paste, cumin seeds, turmeric, coriander powder, garam masala, red chili powder, amchur (dry mango powder), salt, and oil.","Heat oil in a pan, sauté cumin seeds, onions, and green chilies until golden. Add ginger-garlic paste and cook until fragrant. Stir in chopped tomatoes, turmeric, red chili powder, coriander powder, and salt, cooking until the tomatoes soften. Add the sliced bhindi and cook on medium heat, stirring occasionally, until tender. Sprinkle garam masala and amchur, mix well, and serve hot with roti or rice",North Indian,Calories: 300 Carbohydrates: 45g Fats: 8g Proteins: 6g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/bhindi-masala-4.jpg
64,Palak Paneer,Creamy spinach curry with paneer.,"Spinach (palak), paneer (cottage cheese), onions, tomatoes, ginger-garlic paste, green chilies, cumin seeds, turmeric, garam masala, cream, salt, and oil.","Blanch the spinach and blend it into a smooth puree. Heat oil in a pan, sauté cumin seeds, onions, and green chilies until golden. Add ginger-garlic paste and cook until fragrant, then add chopped tomatoes and cook until soft. Stir in turmeric, garam masala, and salt. Add the spinach puree and simmer. Add paneer cubes and cook for a few minutes. Stir in cream for a rich texture and serve hot with roti or rice.",North Indian,Calories: 400 Carbohydrates: 40g Fats: 14g Proteins: 18g Cholesterol: 200mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/palak-paneer-4.jpg
65,Aloo Gobi Sabzi,Spiced potato and cauliflower curry.,"Potatoes, cauliflower, onions, tomatoes, ginger-garlic paste, green chilies, cumin seeds, turmeric, coriander powder, garam masala, red chili powder, cumin powder, salt, and oil.","Heat oil in a pan, sauté cumin seeds, onions, and green chilies until golden. Add ginger-garlic paste and cook until fragrant, then add chopped tomatoes and cook until soft. Stir in turmeric, coriander powder, red chili powder, cumin powder, and salt. Add cubed potatoes and cauliflower florets, mix well, and cook covered on low heat until tender. Garnish with fresh coriander leaves and serve hot with roti or rice.",North Indian,Calories: 260 Carbohydrates: 30g Fats: 12g Proteins: 4g Cholesterol: 0mg,Veg,https://hebbarskitchen.com/wp-content/uploads/mainPhotos/aloo-gobi-dry-recipe-aloo-gobhi-ki-sabji-aloo-gobi-masala-dry-2.jpeg
66,Tandoori Chicken,"Grilled, spiced chicken with smoky flavor.","Chicken (preferably with skin), yogurt, ginger-garlic paste, red chili powder, turmeric, garam masala, lemon juice, mustard oil, cumin powder, coriander powder, salt, and fresh coriander leaves.","Make deep slashes in the chicken to allow the marinade to penetrate. Mix yogurt, ginger-garlic paste, lemon juice, and all the spices to make a thick marinade. Coat the chicken thoroughly with the marinade and refrigerate for 4-6 hours or overnight. Preheat the grill or oven and cook the chicken until it's tender and slightly charred, basting with oil or butter occasionally. Garnish with fresh coriander leaves and serve hot with naan or rice.",North Indian,Calories: 380 Carbohydrates: 40g Fats: 10g Proteins: 25g Cholesterol: 110mg,Non-Veg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Chickentandoori.jpg
67,Mutton Rogan Josh,"Tender mutton in a flavorful, spiced gravy.","Mutton (goat meat), onions, tomatoes, ginger-garlic paste, yogurt, garam masala, Kashmiri red chili powder, turmeric, coriander powder, cumin powder, cinnamon, cardamom, cloves, bay leaves, and oil.","Heat oil in a pot and sauté whole spices like cinnamon, cardamom, and cloves until fragrant. Add finely chopped onions and cook until golden brown. Stir in ginger-garlic paste, followed by tomatoes, and cook until soft. Add the mutton pieces and brown them. Mix in yogurt, Kashmiri red chili powder, turmeric, coriander powder, cumin powder, and garam masala. Add water and simmer until the mutton becomes tender and the gravy thickens. Garnish with fresh coriander and serve hot with naan or rice.",North Indian,Calories: 210 Carbohydrates: 14g Fats: 8g Proteins: 3g Cholesterol: 0mg,Non-Veg,https://www.whiskaffair.com/wp-content/uploads/2019/02/Mutton-Rogan-Josh-2-3.jpg
68,Hyderabadi Biriyani,Fragrant rice and spiced meat layers.,"For the rice: Basmati rice, bay leaves, cinnamon, cardamom, cloves, saffron (optional), and salt.For the meat: Chicken or mutton, yogurt, onions, ginger-garlic paste, green chilies, coriander, mint leaves, garam masala, turmeric, red chili powder, and salt.For the gravy: Tomatoes, fried onions, and ghee or oil.","Marinate the chicken or mutton with yogurt, ginger-garlic paste, green chilies, mint, coriander, and spices for a few hours. Cook the rice with whole spices like bay leaves, cardamom, cinnamon, and cloves, until 70% cooked. In a large pot, layer the marinated meat, then top with partially cooked rice. Add fried onions, saffron-soaked milk (optional), and ghee. Cook on low heat (dum) until the meat is tender and the rice is fully cooked. Serve with raita or salad.",South Indian,Calories: 440 Carbohydrates: 10g Fats: 28g Proteins: 35g Cholesterol: 85mg,Non-Veg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hyderabadi_Chicken_Biryani.jpg/1200px-Hyderabadi_Chicken_Biryani.jpg
69,Gulab Jamun,"Soft, syrup-soaked milk-based dumplings.","For the dough: Milk powder, all-purpose flour (maida), baking soda, ghee, milk, and cardamom powder.For the syrup: Sugar, water, cardamom, rose water (optional), and saffron (optional).","Make the dough by mixing milk powder, flour, baking soda, ghee, and milk to form a smooth consistency. Roll into small balls, ensuring no cracks. Heat oil in a pan, and fry the dough balls on low heat until golden brown and cooked through. For the syrup, boil sugar and water with cardamom, adding rose water and saffron for flavor. Once the gulab jamuns are fried, soak them in the warm syrup for a few hours. Serve hot or at room temperature.",North Indian,Calories: 240 Carbohydrates: 28g Fats: 10g Proteins: 6g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2022/10/gulab-jamun-recipe-02.jpg
70,Jalebi,"Crispy, syrup-soaked spirals.","For the batter: All-purpose flour (maida), cornstarch, yogurt, baking soda, turmeric (for color), and water.For the syrup: Sugar, water, cardamom, saffron (optional), and rose water (optional).For frying: Ghee or oil.","Mix the flour, cornstarch, yogurt, baking soda, turmeric, and water to form a smooth batter. Let it rest for 1-2 hours. Heat ghee or oil in a pan. Fill a piping bag or squeeze bottle with the batter and shape it into spiral patterns in the hot oil. Fry until crispy and golden. For the syrup, dissolve sugar in water, add cardamom, and boil until slightly thickened. Once fried, dip the jalebis in the warm syrup for a few seconds. Serve hot.",North Indian,Calories: 350 Carbohydrates: 12g Fats: 20g Proteins: 25g Cholesterol: 65mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/11/jalebi-recipe-2.jpg
71,Malpua,"Sweet, crispy, syrup-soaked pancakes.","All-purpose flour, semolina, sugar, milk, cardamom, and ghee for frying. Optional ingredients include coconut and fennel seeds.","Mix flour, semolina, sugar, cardamom, and milk into a smooth batter. Heat ghee in a pan and pour spoonfuls of the batter to form small pancakes. Fry until golden and crisp. Optionally, soak in sugar syrup before serving.",North Indian,Calories: 280 Carbohydrates: 25g Fats: 12g Proteins: 6g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/09/malpua-recipe-3.jpg
72,Veg momos,Steamed savory dumplings.,"All-purpose flour, cabbage, carrots, onions, garlic, ginger, soy sauce, and spices. Salt and oil for dough and filling.","Prepare the dough by mixing flour, salt, and water. For the filling, sauté finely chopped vegetables with garlic, ginger, and soy sauce. Roll out the dough, place the filling, and fold into dumplings. Steam for 10-15 minutes until cooked.",North Indian,Calories: 500 Carbohydrates: 40g Fats: 28g Proteins: 35g Cholesterol: 90mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2018/12/veg-momos-1.jpg
73,Rasgulla,"Soft, spongy, sugar-soaked sweets.","Fresh chhena (cottage cheese), sugar, water, cardamom, and rose water (optional).","Prepare chhena by draining curdled milk. Knead it into a smooth dough, then shape it into small balls. Boil sugar and water to make a syrup, then add cardamom. Drop the chhena balls into the syrup and cook for about 20 minutes until they double in size. Let them cool before serving.",North Indian,Calories: 220 Carbohydrates: 28g Fats: 6g Proteins: 8g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/10/rasgulla-recipe-3.jpg
74,Lassi,"Creamy, refreshing yogurt drink.","Yogurt, water, sugar, salt (for savory lassi), ice cubes, and cardamom (optional).","Blend yogurt, water, and sugar (or salt) until smooth. Add ice cubes and cardamom for extra flavor. Blend again and serve chilled.",North Indian,Calories: 360 Carbohydrates: 6g Fats: 20g Proteins: 30g Cholesterol: 75mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2012/05/lassi-recipe-4.jpg
75,Aloo Tikki,"Crispy, spiced potato patties.","Boiled potatoes, breadcrumbs, cornflour, cumin, coriander, garam masala, chili powder, salt, and oil for frying.","Mash boiled potatoes and mix with spices, breadcrumbs, and cornflour. Shape into small patties. Heat oil in a pan and fry the patties until golden and crispy on both sides. Serve with chutney.",North Indian,Calories: 390 Carbohydrates: 14g Fats: 28g Proteins: 10g Cholesterol: 45mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2022/07/aloo-tikki-2.jpg
76,Baingan Bharta,Smoky mashed eggplant curry.,"Eggplant (baingan), onions, tomatoes, garlic, ginger, green chilies, cumin, coriander powder, turmeric, garam masala, oil, and cilantro for garnish.","Roast the eggplant over an open flame or in the oven until soft. Peel off the skin and mash the flesh. Sauté onions, garlic, ginger, and tomatoes with spices. Add the mashed eggplant and cook for a few minutes. Garnish with cilantro and serve with roti or rice.",North Indian,Calories: 420 Carbohydrates: 8g Fats: 30g Proteins: 28g Cholesterol: 85mg,Veg,https://www.kuchpakrahahai.in/wp-content/uploads/2016/05/Baingan-ka-bharta.jpg
77,Rice Kheer,Creamy rice pudding dessert.,"Rice, milk, sugar, cardamom, almonds, cashews, saffron (optional), and ghee.","Wash and cook rice in milk until soft. Add sugar and cook until thickened. Stir in cardamom and ghee. Garnish with roasted nuts and saffron, if using. Serve warm or chilled.",North Indian,Calories: 190 Carbohydrates: 26g Fats: 6g Proteins: 6g Cholesterol: 0mg,Veg,https://www.indianveggiedelight.com/wp-content/uploads/2020/04/rice-kheer-1152x1536.jpg
78,Kulcha,"Soft, fluffy Indian bread.","All-purpose flour, yeast, sugar, yogurt, baking powder, salt, ghee, and water.","Mix flour, yeast, sugar, yogurt, and water to form a dough. Let it rise for an hour. Divide into small balls and roll into flat discs. Cook on a hot tawa or in a tandoor, brushing with ghee. Serve warm with curry or chutney.",North Indian,Calories: 300 Carbohydrates: 6g Fats: 18g Proteins: 25g Cholesterol: 60mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/06/kulcha.jpg
79,Besan Chila,Savory gram flour pancake,"Besan (gram flour), water, cumin, turmeric, chili powder, salt, ginger, onions, tomatoes, cilantro, and oil for cooking.","Mix besan with water, spices, and chopped vegetables to make a smooth batter. Heat oil in a pan, pour a portion of the batter, and spread it into a thin circle. Cook until both sides are golden and crisp. Serve with chutney or yogurt.",North Indian,Calories: 220 Carbohydrates: 34g Fats: 8g Proteins: 3g Cholesterol: 0mg,Veg,https://www.indianveggiedelight.com/wp-content/uploads/2023/02/besan-chilla-recipe.jpg
80,Butter Naan,"Soft, buttery Indian flatbread.","All-purpose flour, yeast, sugar, salt, yogurt, milk, ghee, and water.","Prepare a dough by mixing flour, yeast, sugar, salt, yogurt, and water. Let it rise for 1-2 hours. Roll the dough into flat discs and cook on a hot tawa or in a tandoor. Brush with melted ghee or butter after cooking. Serve warm with curries.",North Indian,Calories: 490 Carbohydrates: 10g Fats: 35g Proteins: 30g Cholesterol: 95mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/07/naan-1.jpg
81,Aloo Puri,A classic breakfast dish.,"Boiled potatoes, wheat flour, green chilies, ginger, turmeric, spices (cumin, coriander), oil, and salt.","Prepare a spiced potato curry. Make a dough with wheat flour, roll into puris, and deep fry until golden. Serve with aloo curry.",North Indian,Calories: 400 Carbohydrates: 14g Fats: 28g Proteins: 12g Cholesterol: 45mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2012/05/aloo-poori-recipe01-1.jpg
82,Dhokla,A fluffy steamed snack.,"Gram flour (besan), yogurt, water, turmeric, Eno fruit salt, green chilies, ginger, mustard seeds, curry leaves, sugar, lemon juice, and coriander.","Mix gram flour, yogurt, and spices into a batter, add Eno, steam until set, and temper with mustard seeds, curry leaves, and sugar syrup. Serve warm.",North Indian,Calories: 350 Carbohydrates: 30g Fats: 14g Proteins: 14g Cholesterol: 185mg,Veg,https://rakskitchen.net/wp-content/uploads/2011/09/khaman-recipe.jpg
83,Kadai Paneer,"A spicy, aromatic, flavourful paneer dish","Paneer, bell peppers, onions, tomatoes, garlic, ginger, red chili powder, coriander seeds, garam masala, kasuri methi, and oil.","Saute onions and bell peppers. Make a spiced tomato-based gravy, add paneer cubes, and cook until flavors combine. Garnish with kasuri methi and serve hot.",North Indian,Calories: 480 Carbohydrates: 8g Fats: 35g Proteins: 30g Cholesterol: 90mg,Veg,https://www.whiskaffair.com/wp-content/uploads/2020/08/Kadai-Paneer-2-1.jpg
84,Gobi Manchurian,Crispy Indo-Chinese appetizer.,"Cauliflower florets, cornflour, all-purpose flour, ginger, garlic, soy sauce, chili sauce, ketchup, spring onions, and oil.","Coat cauliflower in a spiced batter, deep fry until crispy. Sauté garlic and sauces, toss in fried florets, and garnish with spring onions. Serve hot.",North Indian,Calories: 230 Carbohydrates: 28g Fats: 8g Proteins: 4g Cholesterol: 0mg,Veg,https://www.palatesdesire.com/wp-content/uploads/2020/04/Dry_gobi_manchurian@palates_Desire-1024x692.jpg
85,Mushroom Pepper Dry, A flavorful spicy appetizer.,"Mushrooms, black pepper, garlic, green chilies, onions, curry leaves, soy sauce, cornflour, and oil.","Saute garlic, chilies, and curry leaves. Add mushrooms and cook until tender. Sprinkle black pepper, soy sauce, and cornflour slurry. Toss well and serve hot.",North Indian,Calories: 370 Carbohydrates: 10g Fats: 24g Proteins: 28g Cholesterol: 120mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2016/08/mushroom-pepper-fry-recipe.jpg
86,Mushroom Soup,A creamy and comforting dish.,"Mushrooms, onions, garlic, butter, milk, cream, black pepper, all-purpose flour, and salt.","Saute garlic, onions, and mushrooms in butter. Blend half to make a puree. Add flour, milk, and puree. Simmer, season with salt and pepper, garnish with cream, and serve hot.",North Indian,Calories: 300 Carbohydrates: 45g Fats: 10g Proteins: 6g Cholesterol: 0mg,Veg,https://www.veganricha.com/wp-content/uploads/2023/12/Mushroom-Noodle-Soup-5009.jpg
